"scientific_name","species","iucn_category","superclass","genus","family","order","zoonomia","illumina","silencer"
"Callimico goeldii","Callimico goeldii","VULNERABLE","Mammalia","Callimico","Cebidae","Primates",FALSE,TRUE,FALSE
"Nanger dama","Nanger dama","CRITICALLY ENDANGERED","Mammalia","Nanger","Bovidae","Artiodactyla",FALSE,TRUE,FALSE
"Aepyceros melampus","Aepyceros melampus","LEAST CONCERN","Mammalia","Aepyceros","Bovidae","Artiodactyla",TRUE,TRUE,FALSE
"Hexaprotodon liberiensis","Hexaprotodon liberiensis","ENDANGERED","Mammalia","Hexaprotodon","Hippopotamidae","Artiodactyla",FALSE,TRUE,TRUE
"Oryx gazella","Oryx gazella","LEAST CONCERN","Mammalia","Oryx","Bovidae","Artiodactyla",TRUE,TRUE,FALSE
"Giraffa camelopardalis","Giraffa camelopardalis","VULNERABLE","Mammalia","Giraffa","Giraffidae","Artiodactyla",TRUE,TRUE,FALSE
"Lama guanicoe","Lama guanicoe","LEAST CONCERN","Mammalia","Lama","Camelidae","Artiodactyla",TRUE,TRUE,FALSE
"Connochaetes taurinus","Connochaetes taurinus","LEAST CONCERN","Mammalia","Connochaetes","Bovidae","Artiodactyla",TRUE,TRUE,FALSE
"Camelus bactrianus","Camelus bactrianus","CRITICALLY ENDANGERED","Mammalia","Camelus","Camelidae","Artiodactyla",TRUE,TRUE,FALSE
"Tragelaphus eurycerus","Tragelaphus eurycerus","NEAR THREATENED","Mammalia","Tragelaphus","Bovidae","Artiodactyla",FALSE,TRUE,FALSE
"Sus scrofa","Sus scrofa","LEAST CONCERN","Mammalia","Sus","Suidae","Artiodactyla",TRUE,TRUE,FALSE
"Oryx dammah","Oryx dammah","EXTINCT IN THE WILD","Mammalia","Oryx","Bovidae","Artiodactyla",TRUE,TRUE,FALSE
"Rangifer tarandus","Rangifer tarandus","VULNERABLE","Mammalia","Rangifer","Cervidae","Artiodactyla",TRUE,TRUE,FALSE
"Capra hircus","Capra hircus","NA","Mammalia","Capra","Bovidae","Artiodactyla",TRUE,TRUE,FALSE
"Elaphurus davidianus","Elaphurus davidianus","EXTINCT IN THE WILD","Mammalia","Elaphurus","Cervidae","Artiodactyla",TRUE,TRUE,FALSE
"Beatragus hunteri","Beatragus hunteri","CRITICALLY ENDANGERED","Mammalia","Beatragus","Bovidae","Artiodactyla",TRUE,TRUE,FALSE
"Bos grunniens","Bos grunniens","VULNERABLE","Mammalia","Bos","Bovidae","Artiodactyla",TRUE,TRUE,TRUE
"Ovis aries musimon","Ovis aries","NA","Mammalia","Ovis","Bovidae","Artiodactyla",FALSE,TRUE,FALSE
"Bison bison","Bison bison","NEAR THREATENED","Mammalia","Bison","Bovidae","Artiodactyla",TRUE,TRUE,FALSE
