"scientific_name","species","subspecies","common_name","family","zims_species360","origin","sex","cell_type","karyotype","sample_id","wgs","rna_seq","iucn","superclass","animal_id","individual_id","lines_per_individual","iPSC","status","cnag_id","species_short","link","dna","karyo","rna","seq","n_samples","date","animal_species","species_360_local_id","coming_from_clean"
"Ambystoma mexicanum","Ambystoma mexicanum",NA,"Axolotl","Ambystomatidae","-","CAPTIVE",NA,"Primary",NA,"Amb_Mex_2",NA,NA,"CR","Amphibia","A351","I_A351",1,FALSE,FALSE,NA,"Amb_Mex","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi",FALSE,FALSE,FALSE,FALSE,1,"28/06/2022","Ambystoma mexicanum","QGH22-06121","Aquarium de San Sebastian"
"Ambystoma mexicanum","Ambystoma mexicanum",NA,"Axolotl","Ambystomatidae","-","CAPTIVE",NA,"Primary",NA,"Amb_Mex_3",NA,NA,"CR","Amphibia","A352","I_A352",1,FALSE,FALSE,NA,"Amb_Mex",NA,FALSE,FALSE,FALSE,FALSE,1,"28/06/2022","Ambystoma mexicanum","QGH22-06121","Zoo Barcelona"
"Ambystoma mexicanum","Ambystoma mexicanum",NA,"Axolotl","Ambystomatidae",NA,"CAPTIVE",NA,"Primary",NA,"Amb_Mex_4",NA,NA,"CR","Amphibia","A688","I_A688",1,FALSE,FALSE,NA,"Amb_Mex",NA,FALSE,FALSE,FALSE,FALSE,1,"9/5/2025","Ambystoma mexicanum","JLD21-01924/ MADRID Z / PEL27","Zoo Barcelona"
"Ambystoma mexicanum","Ambystoma mexicanum",NA,"Axolotl","Ambystomatidae",NA,"CAPTIVE",NA,"Primary",NA,"Amb_Mex_5",NA,NA,"CR","Amphibia","A771","I_A771",1,FALSE,FALSE,NA,"Amb_Mex",NA,FALSE,FALSE,FALSE,FALSE,1,"6/2/2026","Ambystoma mexicanum","27917922 / MADRID Z / FLR143","Acuario Zaragoza"
"Ambystoma mexicanum","Ambystoma mexicanum",NA,"Axolotl","Ambystomatidae","MIG12-30088849","CAPTIVE","M","Primary",NA,"Amb_Mex_6",NA,NA,"CR","Amphibia","A785","I_A785",1,FALSE,FALSE,NA,"Amb_Mex",NA,FALSE,FALSE,FALSE,FALSE,1,"4/3/2026","Ambystoma mexicanum","MIG12-30088849","Zoo Barcelona"
"Pleurodeles waltl","Pleurodeles waltl",NA,"Sharp-ribbed Salamander","Salamandridae","-","CAPTIVE",NA,"Primary",NA,"Ple_Wal_1","ABA20114",NA,"NT","Amphibia","A203","I_A203",1,FALSE,FALSE,NA,"Ple_Wal",NA,FALSE,FALSE,FALSE,FALSE,1,"30/10/21","Pleurodeles walt","PC028","CSIC"
"Pleurodeles waltl","Pleurodeles waltl",NA,"Sharp-ribbed Salamander","Salamandridae","QGH23-06328-IA","-","U","Primary",NA,"Ple_Wal_2",NA,NA,"NT","Amphibia","A454","I_A454",1,FALSE,FALSE,NA,"Ple_Wal","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=8319&lvl=3&lin=f&keep=1&srchmode=1&unlock",FALSE,FALSE,FALSE,FALSE,1,"13/04/2023","Pleurodeles newt","QGH23-06328-IA","Zoo Barcelona"
"Pleurodeles waltl","Pleurodeles waltl",NA,"Sharp-ribbed Salamander","Salamandridae",NA,NA,"U","Fibro",NA,"Ple_Wal_3",NA,NA,"NT","Amphibia","A496","I_A496",1,FALSE,TRUE,NA,"Ple_Wal",NA,FALSE,FALSE,FALSE,FALSE,1,"12/09/2023","Pleurodeles walt","-","Zoo Barcelona"
"Salamandra salamandra","Salamandra salamandra",NA,"Common Fire Salamander","Salamandridae",NA,"WILD","U","Primary",NA,"Sal_Sal_1",NA,NA,"VU","Amphibia","A649","I_A649",1,FALSE,FALSE,NA,"Sal_Sal","https://www.iucnredlist.org/species/59467/219148292",FALSE,FALSE,FALSE,FALSE,1,"21/2/2025","Salamandra salamandra","BC00790","Museu de Ciencies Naturlas Barcelona"
"Lissotriton helveticus","Lissotriton helveticus",NA,"Palmate Newt","Salamandridae","BC00871","WILD","U","Primary",NA,"Lis_Hel_1",NA,NA,"LC","Amphibia","A665","I_A665",1,FALSE,FALSE,NA,"Lis_Hel",NA,FALSE,FALSE,FALSE,FALSE,1,"17/3/2025","Lissotriton helveticus","BC00871","Museu de Ciencies Naturlas Barcelona"
