"x1","scientific_name","species","subspecies","common_name","family","zims_species360","origin","sex","cell_type","type1","type2","type3","type4","karyotype","sample_id","line1","line2","line3","cell_barcode","cnag_id","x13","iucn","superclass","data","status","iPSC"
"14.0","Agapornis nigrigenis","Agapornis nigrigenis",NA,"Black-cheeked Lovebird","Psittacidae","DKL17-04749/ BARCELONA / 13256","CAPTIVE","F","Primary",NA,NA,NA,NA,NA,"A388","A388",NA,NA,NA,NA,NA,"VU","Birds","https://www.gbif.org/species/2479545",FALSE,FALSE
"14.0","Agapornis nigrigenis","Agapornis nigrigenis",NA,"Black-cheeked Lovebird","Psittacidae","QGH22-06204-IA/27","-","U","Primary",NA,NA,NA,NA,NA,"A401","A401",NA,NA,NA,NA,NA,"VU","Birds",NA,FALSE,FALSE
"14.0","Agapornis nigrigenis","Agapornis nigrigenis",NA,"Black-cheeked Lovebird","Psittacidae","QGH22-06205-IA/28","-","U","Primary",NA,NA,NA,NA,NA,"A402","A402",NA,NA,NA,NA,NA,"VU","Birds",NA,FALSE,FALSE
"14.0","Agapornis nigrigenis","Agapornis nigrigenis",NA,"Black-cheeked Lovebird","Psittacidae","QGH22-06225-IA","CAPTIVE","U","Primary",NA,NA,NA,NA,NA,"A415","A415",NA,NA,NA,NA,NA,"VU","Birds",NA,FALSE,FALSE
"14.0","Agapornis nigrigenis","Agapornis nigrigenis",NA,"Black-cheeked Lovebird","Psittacidae","MIG12-29591015/BARCELONA / 10887","CAPTIVE","M","Primary",NA,NA,NA,NA,NA,"A499","A499",NA,NA,NA,NA,NA,"VU","Birds",NA,FALSE,FALSE
"14.0","Agapornis nigrigenis","Agapornis nigrigenis",NA,"Black-cheeked Lovebird","Psittacidae","QGH23-06424/BARCELONA/14328","CAPTIVE","U","Fibro",NA,NA,NA,NA,NA,"A512","A512",NA,NA,"C",NA,NA,"VU","Birds",NA,TRUE,FALSE
"14.0","Agapornis nigrigenis","Agapornis nigrigenis",NA,"Black-cheeked Lovebird","Psittacidae","QGH23-06487/BARCELONA / 14384","CAPTIVE","F","Fibro",NA,NA,NA,NA,NA,"A515","A515",NA,NA,NA,NA,NA,"VU","Birds",NA,TRUE,FALSE
"15.0","Aratinga solstitialis","Aratinga solstitialis",NA,"Sun Parakeet","Psittacidae",NA,NA,NA,"Fibro",NA,NA,NA,NA,NA,"A185","A185",NA,NA,"*A185*",NA,NA,"EN","Birds","https://www.iucnredlist.org/species/62233372/95192947",TRUE,FALSE
"16.0","Eos reticulata","Eos reticulata",NA,"Blue-streaked lory","Psittacidae","27181800/BARCELONA / 10564","CAPTIVE","F","Fibro",NA,NA,NA,NA,NA,"A354","A354",NA,NA,"*A354*",NA,NA,"NT","Birds",NA,TRUE,FALSE
"17.0","Ara chloropterus","Ara chloropterus",NA,"Red-and-green Macaw","Psittacidae","25767166/BARCELONA / 7344","UNKNOWN","M","Fibro",NA,NA,NA,NA,NA,"A362","A362",NA,NA,"*A362*",NA,NA,"LC","Birds","https://www.iucnredlist.org/species/22685566/163776409",TRUE,FALSE
"18.0","Amazona aestiva","Amazona aestiva",NA,"Blue-fronted amazon","Psittacidae","MIG12-28842346","CAPTIVE","F","Primary",NA,NA,NA,NA,NA,"A367","A367",NA,NA,NA,NA,NA,"NT","Birds",NA,FALSE,FALSE
"19.0","Amazona brasiliensis","Amazona brasiliensis",NA,"Red-tailed amazon","Psittacidae","MIG12-21379186/BARCELONA / 10462","CAPTIVE","M","Primary",NA,NA,NA,NA,NA,"A383","A383",NA,NA,NA,NA,NA,"NT","Birds","https://www.iucnredlist.org/species/22686296/118478685",FALSE,FALSE
"20.0","Ara ararauna","Ara ararauna",NA,"Blue-and-yellow macaw","Psittacidae","MIG12-28326023/ BARCELONA / 2083","WILD","M","Fibro",NA,NA,NA,NA,NA,"A441","A441",NA,NA,"*A441*",NA,NA,"LC","Birds","https://www.iucnredlist.org/species/22685539/131917270",TRUE,FALSE
"20.0","Ara ararauna","Ara ararauna",NA,"Blue-and-yellow macaw","Psittacidae","WKP15-00490/MADRID Z / GAZ55","CAPTIVE","U","Primary",NA,NA,NA,NA,NA,"A458","A458",NA,NA,NA,NA,NA,"LC","Birds",NA,FALSE,FALSE
"21.0","Ara rubrogenys","Ara rubrogenys",NA,"Red-fronted macaw","Psittacidae","27918567/MADRID Z / AR7","UNKOWN","F?","Primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CR","Birds",NA,FALSE,FALSE
